fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Feb,2013,Montana,13130.9,96992.93,74885.51,21452.67,654.75
2012-2013,Feb,2013,Nevada,27184.95,102178.65,101563.85,454.45,160.35
2012-2013,Feb,2013,New England,11368.0,52081.22,51583.23,156.25,341.74
2012-2013,Feb,2013,New Mexico,112869.46,477026.42,456564.05,14513.06,5949.31
2012-2013,Feb,2013,New York,24061.82,163961.69,156726.46,6592.02,643.21
2012-2013,Feb,2013,North Carolina,829098.62,4487959.58,4345246.52,106267.43,36445.63
2012-2013,Feb,2013,Northwest,62418.77,200477.91,189852.95,6071.86,4553.1
2012-2013,Feb,2013,Ohio,143519.09,220881.88,212605.87,200.98,8075.03
2012-2013,Feb,2013,Oklahoma,751293.54,0.0,0.0,0.0,0.0
2012-2013,Feb,2013,Pennsylvania-South Jersey,14843.29,70645.91,61054.24,6841.75,2749.92
2012-2013,Feb,2013,Puerto Rico/Virgin Islands,485.4,0.0,0.0,0.0,0.0
2012-2013,Feb,2013,South Carolina,1078133.74,3857310.87,3784174.34,17099.58,56036.95
2012-2013,Feb,2013,Tennessee,1599640.37,5308914.26,5072577.56,189575.82,46760.88
2012-2013,Feb,2013,Texas - BGCT,1074326.24,5376062.29,4936715.46,337004.28,102342.55
2012-2013,Feb,2013,Texas - SBTC,1604098.28,2852380.74,2654399.37,144514.62,53466.75
2012-2013,Feb,2013,Utah - Idaho,12605.01,10888.18,6122.02,4013.16,753.0
2012-2013,Feb,2013,Virginia - BGAV,0.0,0.0,0.0,0.0,0.0
2012-2013,Feb,2013,Virginia - SBCV,288364.09,810633.33,735471.28,60221.04,14941.01
2012-2013,Feb,2013,West Virginia,41106.26,75403.15,71418.51,3354.89,629.75
2012-2013,Feb,2013,Wyoming,0.0,0.0,0.0,0.0,0.0
2012-2013,Feb,2013,Churches & Individuals,362001.37,309198.25,111430.34,19774.48,177993.43
2012-2013,Mar,2013,Alabama,1387490.03,2894723.62,2794013.9,59711.32,40998.4
2012-2013,Mar,2013,Alaska,18022.29,26548.92,25328.12,1205.8,15.0
2012-2013,Mar,2013,Arizona,64097.92,149412.23,145064.35,3351.59,996.29
2012-2013,Mar,2013,Arkansas,678491.24,559906.59,502066.25,28988.39,28851.95
2012-2013,Mar,2013,California,154376.18,247405.97,233305.09,11021.71,3079.17
2012-2013,Mar,2013,Colorado,40772.31,50098.05,44686.66,5201.39,210.0
2012-2013,Mar,2013,Dakota,2957.07,4879.37,4804.37,25.0,50.0
2012-2013,Mar,2013,D. C.,1500.1,3543.0,2284.0,105.0,1154.0
2012-2013,Mar,2013,Florida,1048643.57,1073343.91,1009832.46,47445.2,16066.25
2012-2013,Mar,2013,Georgia,1191094.13,2880431.2,2662765.89,143495.65,74169.66
2012-2013,Mar,2013,Hawaii Pacific,29718.95,135679.78,132332.64,1971.74,1375.4
2012-2013,Mar,2013,Illinois,209704.21,171545.94,157346.3,10172.1,4027.54
2012-2013,Mar,2013,Indiana,69734.24,40739.42,32799.67,7261.89,677.86
2012-2013,Mar,2013,Iowa,5983.45,33878.61,32938.24,295.24,645.13
2012-2013,Mar,2013,Kansas-Nebraska,45259.42,39522.16,23827.57,14337.35,1357.24
2012-2013,Mar,2013,Kentucky,720379.27,1156534.37,1051708.95,53982.65,50842.77
2012-2013,Mar,2013,Louisiana,583946.0,269466.5,214073.02,38254.22,17139.26
2012-2013,Mar,2013,Maryland-Delaware,149144.51,80810.92,61946.56,7647.12,11217.24
2012-2013,Mar,2013,Michigan,32150.4,90569.25,0.0,0.0,90569.25
2012-2013,Mar,2013,Minnesota-Wisconsin,4675.52,27203.15,25798.67,839.0,565.48
2012-2013,Mar,2013,Mississippi,977021.27,1687936.17,1597513.65,76004.93,14417.59
2012-2013,Mar,2013,Missouri,394698.53,640740.62,585485.59,39988.56,15266.47
2012-2013,Mar,2013,Montana,7289.13,17548.92,5200.21,1600.89,10747.82
2012-2013,Mar,2013,Nevada,20267.88,45407.56,45167.56,132.25,107.75
2012-2013,Mar,2013,New England,5152.0,31499.85,30559.75,576.5,363.6
2012-2013,Mar,2013,New Mexico,60831.21,132824.51,121781.1,4929.45,6113.96
2012-2013,Mar,2013,New York,17070.52,30122.01,27518.14,2043.29,560.58
2012-2013,Mar,2013,North Carolina,715308.7,2413714.33,2316603.05,58106.04,39005.24
2012-2013,Mar,2013,Northwest,47847.13,52670.54,47235.33,4012.49,1422.72
2012-2013,Mar,2013,Ohio,152651.45,78008.13,49996.83,24030.58,3980.72
2012-2013,Mar,2013,Oklahoma,762753.42,2093600.29,1943338.04,134882.8,15379.45
2012-2013,Mar,2013,Pennsylvania-South Jersey,11443.75,24050.28,21974.13,1264.0,812.15
2012-2013,Mar,2013,Puerto Rico/Virgin Islands,648.77,12752.91,12752.91,0.0,0.0
2012-2013,Mar,2013,South Carolina,1124137.75,1124709.64,1047652.97,38935.48,38121.19
2012-2013,Mar,2013,Tennessee,1046939.17,2081648.87,1943061.56,92569.26,46018.05
2012-2013,Mar,2013,Texas - BGCT,850620.54,2434927.07,2243615.96,152042.15,39268.96
